,Long,Lat,Width,Height,Goodness,geometry,id,LatMax,LongMax
0,-177,25,80,1,True,"Rectangle(xy=(-177, 25), width=80, height=1, angle=0)",0,26,-97
1,-97,25,16,1,True,"Rectangle(xy=(-97, 25), width=16, height=1, angle=0)",1,26,-81
2,-81,25,29,1,True,"Rectangle(xy=(-81, 25), width=29, height=1, angle=0)",2,26,-52
3,-177,26,79,1,True,"Rectangle(xy=(-177, 26), width=79, height=1, angle=0)",3,27,-98
4,-98,26,1,1,True,"Rectangle(xy=(-98, 26), width=1, height=1, angle=0)",4,27,-97
5,-97,26,15,1,True,"Rectangle(xy=(-97, 26), width=15, height=1, angle=0)",5,27,-82
6,-82,26,1,1,True,"Rectangle(xy=(-82, 26), width=1, height=1, angle=0)",6,27,-81
7,-81,26,29,1,True,"Rectangle(xy=(-81, 26), width=29, height=1, angle=0)",7,27,-52
8,-177,27,79,1,True,"Rectangle(xy=(-177, 27), width=79, height=1, angle=0)",8,28,-98
9,-98,27,1,1,True,"Rectangle(xy=(-98, 27), width=1, height=1, angle=0)",9,28,-97
10,-97,27,15,1,True,"Rectangle(xy=(-97, 27), width=15, height=1, angle=0)",10,28,-82
11,-82,27,1,1,True,"Rectangle(xy=(-82, 27), width=1, height=1, angle=0)",11,28,-81
12,-81,27,29,1,True,"Rectangle(xy=(-81, 27), width=29, height=1, angle=0)",12,28,-52
13,-177,28,78,1,True,"Rectangle(xy=(-177, 28), width=78, height=1, angle=0)",13,29,-99
14,-99,28,1,1,True,"Rectangle(xy=(-99, 28), width=1, height=1, angle=0)",14,29,-98
15,-98,28,1,1,True,"Rectangle(xy=(-98, 28), width=1, height=1, angle=0)",15,29,-97
16,-97,28,1,1,True,"Rectangle(xy=(-97, 28), width=1, height=1, angle=0)",16,29,-96
17,-96,28,1,1,True,"Rectangle(xy=(-96, 28), width=1, height=1, angle=0)",17,29,-95
18,-95,28,13,1,True,"Rectangle(xy=(-95, 28), width=13, height=1, angle=0)",18,29,-82
19,-82,28,1,1,True,"Rectangle(xy=(-82, 28), width=1, height=1, angle=0)",19,29,-81
20,-81,28,29,1,True,"Rectangle(xy=(-81, 28), width=29, height=1, angle=0)",20,29,-52
21,-177,29,78,1,True,"Rectangle(xy=(-177, 29), width=78, height=1, angle=0)",21,30,-99
22,-99,29,1,1,True,"Rectangle(xy=(-99, 29), width=1, height=1, angle=0)",22,30,-98
